S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
COA,COA,COA,COA,COA,COA,COA,COD,COA,COA,OWN,COA,COA,GOA,COA,COA,OWN,OWN,OWN,COA,PAR,PAR,COA,OWN
PAR,PAR,HOW,HOW,PAR,PAR,PAR,EXE,COA,GOA,EXE,GOA,PAR,PAR,COA,GOA,PRO,COA,INS,PRO,VAR,COA,PRO,COA
COA,VAR,COA,COA,PHR,GOA,GOA,GOA,VAR,HOW,OWN,PRO,VAR,COA,PRO,BGK,VAR,PAR,COA,HOW,HOW,VAR,HOW,PAR
PRO,PRO,PRO,PRO,EXE,PRO,PRO,PRO,PRO,PAR,COA,PAR,COA,VAR,VAR,VAR,OWN,PRO,OWN,WHY,COA,HOW,WHY,OWN
HOW,WHY,COA,COA,HOW,COA,COA,COA,HOW,WHY,HOW,VAR,PRO,PRO,COA,PAR,HOW,OWN,COA,VAR,HOW,PRO,COA,COA
VAR,BGK,WHY,CON,CON,VAR,PAR,PRO,COA,RAG,OWN,COA,HOW,COA,CHK,WHY,VAR,COA,HOW,HOW,HOW,COA,RAG,HOW
VAR,COA,VAR,RAG,COA,PRO,PRO,WHY,VAR,BGK,COA,PRO,WHY,PAR,RAG,PRO,WHY,VAR,PAR,VAR,COA,HOW,BGK,PRO
BGK,RAG,VAR,COA,VAR,COA,COA,HOW,COA,COA,VAR,HOW,COA,COA,COA,COA,OWN,HOW,OWN,BGK,CON,CHK,CON,OWN
COA,HOW,RAG,RAG,EXE,VAR,CHK,COA,RAG,CON,OWN,BGK,RAG,CON,PRO,PRO,COA,PRO,RAG,COA,WHY,PRO,WHY,VAR
BGK,BGK,CON,PRO,BGK,INC,VAR,PRO,PRO,WHY,VAR,WHY,BGK,VAR,CON,VAR,VAR,OWN,BGK,VAR,BGK,WHY,WHY,BGK
CON,VAR,BGK,VAR,VAR,COA,CON,RAG,VAR,VAR,RAG,VAR,VAR,BGK,RAG,WHY,BGK,COA,VAR,,VAR,COA,COA,OWN
COA,WHY,COA,CON,RAG,VAR,BGK,BGK,CON,COA,CON,COA,RAG,,BGK,BGK,OWN,VAR,WHY,,CON,RAG,RAG,BGK
,PRO,,BGK,EXE,COA,COA,CON,BGK,HOW,BGK,PRO,CON,,,HOW,CON,OWN,RAG,,BGK,CON,CON,CON
,COA,,COA,COA,,VAR,CHK,COA,BGK,OWN,WHY,COA,,,RAG,COA,VAR,CON,,,BGK,BGK,EXE
,GOA,,,PAR,,BGK,VAR,PAR,CON,CON,VAR,PRO,,,PRO,BGK,COA,COA,,,,,OWN
,PRO,,,,,COA,WHY,,VAR,PRO,CHK,VAR,,,RAG,OWN,CON,BGK,,,,,CON
,HOW,,,,,,COA,,COA,BGK,RAG,BGK,,,BGK,,BGK,VAR,,,,,EXE
,BGK,,,,,,CON,,,INS,RAG,EXE,,,VAR,,OWN,OWN,,,,,COA
,VAR,,,,,,VAR,,,,COA,,,,PAR,,COA,,,,,,BGK
,CHK,,,,,,BGK,,,,PRO,,,,HOW,,,,,,,,
,RAG,,,,,,,,,,BGK,,,,COA,,,,,,,,
,CON,,,,,,,,,,,,,,BGK,,,,,,,,
,COA,,,,,,,,,,,,,,CHK,,,,,,,,
,PRO,,,,,,,,,,,,,,RAG,,,,,,,,
,VAR,,,,,,,,,,,,,,CON,,,,,,,,
,BGK,,,,,,,,,,,,,,PAR,,,,,,,,
,PAR,,,,,,,,,,,,,,MON,,,,,,,,
,,,,,,,,,,,,,,,EXE,,,,,,,,
,,,,,,,,,,,,,,,PAR,,,,,,,,
,,,,,,,,,,,,,,,CON,,,,,,,,
