Student,PriorCourses,CourseGrade,GroupGrade,PerceivedAbility,GroupAbility,NumCategoriesAct2,NumExplanationsAct2,ClusterAct2,wordsAct2,RubricAct2,GroupAct2,NumCategoriesAct5,NumExplanationsAct5,ClusterAct5,wordsAct5,RubricAct5,GroupAct5,NumCategoriesAct11,NumExplanationsAct11,ClusterAct11,wordsAct11,RubricAct11,GroupAct11,Midterm1,Midterm2,GroupMid1,GroupMid2,ScoreAct11,Group2Act11,ScoreAct5,Group2Act5,UsingExamples,UnderstandingCommenting,SolvingProjects
S1,0,753.8,1,4,3,12,12,40,96,10,1,13,13,30,142,10,3,NA,NA,NA,NA,NA,NA,104,100,3,3,NA,NA,10,3,NoNeed,NA,NA
S10,0,929.66667,2,2,1,17,17,40,158,10,1,10,9,30,124,10,3,16,15,40,158,15,3,73,98,2,3,15,3,10,3,NoResponse,NA,NA
S11,1,890,1,5,3,18,13,10,119,10,1,12,12,30,127,7,2,28,28,40,288,15,3,95,99,3,3,15,3,10,3,UnderstandConcepts,4,3
S12,1,902.25,2,3,2,21,21,40,227,10,1,20,20,30,271,8,3,19,17,70,102,NA,NA,80,94,2,S,NA,NA,10,3,UnderstandConcepts,4,3
S13,0,933.8,2,3,2,18,18,40,152,10,1,17,17,30,167,3,1,NA,NA,NA,NA,NA,NA,102,96,3,3,NA,NA,4,1,NoReason,3,3
S14,0,928,2,2,1,11,11,70,137,10,1,14,14,40,191,8,3,NA,NA,NA,NA,NA,NA,53,92,1,3,NA,NA,10,3,UnderstandConcepts,3,3
S15,0,859,1,NA,NA,12,12,40,95,10,1,15,14,30,177,7,2,16,15,30,220,13,2,47,80,1,2,14,2,10,3,UnderstandConcepts,4,3
S16,1,881,1,1.5,1,30,30,40,392,10,1,20,15,40,338,9,3,17,11,50,322,7,1,64,77,1,2,8,1,10,3,UnderstandConcepts,5,4
S17,1,1002.65,3,3.5,2,16,11,10,97,10,1,18,18,30,164,10,3,22,22,40,176,14,3,94,94,3,3,15,3,10,3,UnderstandConcepts,5,NA
S18,0,942.25,2,3,2,19,14,10,111,10,1,15,15,30,170,7,2,31,31,40,196,12,2,86,98,2,3,15,3,10,3,UnderstandConcepts,3,2
S19,0,961.9,3,NA,NA,18,14,10,330,10,1,18,16,40,271,10,3,NA,NA,NA,NA,NA,NA,88,88,2,2,NA,NA,10,3,NoResponse,NA,NA
S2,0,947.25,2,1,1,27,27,40,462,10,1,18,18,40,315,9,3,27,27,40,301,11,1,81,88,2,2,11,2,10,3,NoReason,2,2
S20,0,875.15,1,2,1,10,10,70,121,10,1,11,11,30,133,7,2,23,20,70,201,8,1,53,71,1,2,10,1,8,2,ExtraCredit,3,3
S21,0,842.55,1,2,1,13,13,40,208,10,1,11,11,40,111,9,3,20,18,30,129,13,2,28,81,1,2,15,3,10,3,ExtraCredit,4,3
S22,0,921.25,2,NA,NA,14,14,40,72,10,1,11,10,30,127,8,3,21,21,40,141,10,1,95,97,3,3,11,2,10,3,UnderstandConcepts,4,3
S23,2,908.25,2,5,3,14,14,40,132,10,1,15,15,30,154,4,1,NA,NA,NA,NA,NA,NA,105,98,3,3,NA,NA,10,3,NoResponse,4,4
S24,0,985.25,3,NA,NA,19,14,10,141,10,1,14,10,10,91,9,3,16,16,40,85,12,2,101,96,3,3,15,3,10,3,UnderstandConcepts,4,4
S25,0,NA,NA,1.5,1,NA,NA,NA,NA,NA,1,15,14,30,259,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,NA,NA,NA
S26,0,687.66667,1,NA,NA,NA,NA,NA,NA,NA,1,7,7,50,79,7,2,NA,NA,NA,NA,NA,NA,49,65,1,2,NA,NA,10,3,NoNeed,2,1
S3,2,961.75,3,4,3,12,12,40,69,10,1,9,9,30,69,8,3,15,15,30,106,11,1,105,100,3,3,12,2,10,3,NoReason,3,3
S4,1,956.75,3,4,3,14,14,40,69,10,1,9,9,30,56,7,2,18,17,70,61,11,1,103,100,3,3,15,3,10,3,Extra credit,3,3
S5,1,930,2,3,2,15,14,30,219,10,1,19,17,30,301,9,3,26,19,50,201,15,3,58,85,1,2,15,3,10,3,Extra credit,2,1
S7,1,949,2,3,2,16,16,70,115,10,1,11,11,30,94,7,2,NA,NA,NA,NA,NA,NA,101,96,3,3,NA,NA,8,2,NoNeed,3,1
S8,0,835,1,3,2,20,19,40,269,10,1,17,16,40,192,10,3,23,23,40,259,13,2,74,98,2,3,15,3,10,3,UnderstandConcepts,5,3
S9,0,989,3,5,3,15,15,40,114,10,1,20,15,10,177,8,3,NA,NA,NA,NA,NA,NA,102,100,3,3,NA,NA,10,3,UnderstandConcepts,3,3
